nohup: ignoring input
3 3 0.01 20000 0.0 ['fridge', 'hvac', 'dr', 'mw', 'dw']
Round: 16500 Training Error: 86.6197509765625 Validation Error: 94.91695404052734 Test Error: 105.47602844238281
Round: 17000 Training Error: 86.5778579711914 Validation Error: 94.9271469116211 Test Error: 105.1076889038086
Round: 17500 Training Error: 86.58165740966797 Validation Error: 94.6103744506836 Test Error: 105.14298248291016
Round: 18000 Training Error: 86.60746765136719 Validation Error: 95.18515014648438 Test Error: 105.07274627685547
Round: 18500 Training Error: 86.53665924072266 Validation Error: 94.87995910644531 Test Error: 104.9615478515625
Round: 19000 Training Error: 86.646240234375 Validation Error: 94.66625213623047 Test Error: 105.39714813232422
Round: 19500 Training Error: 86.4508056640625 Validation Error: 94.76840209960938 Test Error: 104.81352996826172
Round: 20000 Training Error: 86.52523803710938 Validation Error: 94.49201202392578 Test Error: 105.27735900878906
3 4 0.1 20000 0.0 ['dr', 'hvac', 'mw', 'dw', 'fridge']
Round: 500 Training Error: 75.32563781738281 Validation Error: 102.71819305419922 Test Error: 92.67866516113281
Round: 1000 Training Error: 73.70826721191406 Validation Error: 100.27104949951172 Test Error: 89.41622161865234
Round: 1500 Training Error: 72.81005859375 Validation Error: 101.19367218017578 Test Error: 89.85588836669922
Round: 2000 Training Error: 72.41171264648438 Validation Error: 101.10114288330078 Test Error: 88.87191772460938
Round: 2500 Training Error: 72.0582275390625 Validation Error: 101.09637451171875 Test Error: 88.85159301757812
Round: 3000 Training Error: 71.99993133544922 Validation Error: 101.027587890625 Test Error: 88.32223510742188
Round: 3500 Training Error: 71.52781677246094 Validation Error: 101.70060729980469 Test Error: 88.77111053466797
Round: 4000 Training Error: 71.71279907226562 Validation Error: 101.56809997558594 Test Error: 88.64971923828125
Round: 4500 Training Error: 71.34063720703125 Validation Error: 101.35486602783203 Test Error: 88.17119598388672
Round: 5000 Training Error: 71.2681655883789 Validation Error: 101.25592041015625 Test Error: 87.98681640625
Round: 5500 Training Error: 71.11431121826172 Validation Error: 101.69397735595703 Test Error: 88.2552719116211
Round: 6000 Training Error: 70.86619567871094 Validation Error: 101.73171997070312 Test Error: 88.21177673339844
Round: 6500 Training Error: 70.8129653930664 Validation Error: 101.53165435791016 Test Error: 88.1306381225586
Round: 7000 Training Error: 70.79766845703125 Validation Error: 101.2896499633789 Test Error: 87.81289672851562
Round: 7500 Training Error: 70.92033386230469 Validation Error: 101.10803985595703 Test Error: 87.67440795898438
Round: 8000 Training Error: 70.5887222290039 Validation Error: 101.80561065673828 Test Error: 87.90316009521484
Round: 8500 Training Error: 70.68695831298828 Validation Error: 101.54421997070312 Test Error: 87.77618408203125
Round: 9000 Training Error: 70.52970123291016 Validation Error: 101.74000549316406 Test Error: 87.58392333984375
Round: 9500 Training Error: 72.24617004394531 Validation Error: 103.47624206542969 Test Error: 89.58404541015625
Round: 10000 Training Error: 70.40770721435547 Validation Error: 101.46967315673828 Test Error: 87.60128784179688
Round: 10500 Training Error: 70.40312194824219 Validation Error: 101.31404113769531 Test Error: 87.57630920410156
Round: 11000 Training Error: 70.510986328125 Validation Error: 101.31573486328125 Test Error: 87.49909210205078
Round: 11500 Training Error: 71.0317153930664 Validation Error: 101.28570556640625 Test Error: 87.6189193725586
Round: 12000 Training Error: 70.14956665039062 Validation Error: 101.48404693603516 Test Error: 87.34036254882812
Round: 12500 Training Error: 70.2552261352539 Validation Error: 101.21578216552734 Test Error: 87.2303695678711
Round: 13000 Training Error: 70.30059814453125 Validation Error: 101.3336410522461 Test Error: 86.83826446533203
Round: 13500 Training Error: 70.10485076904297 Validation Error: 101.50450134277344 Test Error: 86.88233947753906
Round: 14000 Training Error: 70.04633331298828 Validation Error: 101.4734115600586 Test Error: 87.07088470458984
Round: 14500 Training Error: 70.6939926147461 Validation Error: 101.47970581054688 Test Error: 87.17276763916016
Round: 15000 Training Error: 72.59536743164062 Validation Error: 103.34805297851562 Test Error: 88.47018432617188
Round: 15500 Training Error: 69.9506607055664 Validation Error: 101.34204864501953 Test Error: 86.61830139160156
Round: 16000 Training Error: 70.02236938476562 Validation Error: 101.28534698486328 Test Error: 86.931396484375
Round: 16500 Training Error: 70.18931579589844 Validation Error: 101.4825439453125 Test Error: 86.50794982910156
Round: 17000 Training Error: 70.55366516113281 Validation Error: 101.19308471679688 Test Error: 86.81077575683594
Round: 17500 Training Error: 69.89480590820312 Validation Error: 101.46774291992188 Test Error: 86.59442901611328
Round: 18000 Training Error: 69.95968627929688 Validation Error: 101.1408920288086 Test Error: 86.63367462158203
Round: 18500 Training Error: 70.020751953125 Validation Error: 101.6077880859375 Test Error: 87.22315979003906
Round: 19000 Training Error: 70.33901977539062 Validation Error: 101.11595916748047 Test Error: 86.85993957519531
Round: 19500 Training Error: 69.8729248046875 Validation Error: 101.16207122802734 Test Error: 86.36996459960938
Round: 20000 Training Error: 69.96002197265625 Validation Error: 101.04598236083984 Test Error: 86.62650299072266
