nohup: ignoring input
010.sh: line 2: 12899 Killed                  CUDA_VISIBLE_DEVICES=0 python -W ignore cnn-tree-107.py 1 0.001 20000 0.0 0 hvac
python: can't open file 'cnn-tree-127.py': [Errno 2] No such file or directory
1 0 0.001 20000 0.0 ['fridge']
Round: 10000 Training Error: tensor(57.4369, device='cuda:0') Validation Error: tensor(57.3503, device='cuda:0') Test Error: tensor(41.7736, device='cuda:0')
Round: 10500 Training Error: tensor(57.3890, device='cuda:0') Validation Error: tensor(57.4993, device='cuda:0') Test Error: tensor(41.6807, device='cuda:0')
Round: 11000 Training Error: tensor(57.2856, device='cuda:0') Validation Error: tensor(57.5314, device='cuda:0') Test Error: tensor(41.6421, device='cuda:0')
Round: 11500 Training Error: tensor(57.0540, device='cuda:0') Validation Error: tensor(57.3644, device='cuda:0') Test Error: tensor(42.0716, device='cuda:0')
Round: 12000 Training Error: tensor(56.9308, device='cuda:0') Validation Error: tensor(57.3204, device='cuda:0') Test Error: tensor(41.9622, device='cuda:0')
Round: 12500 Training Error: tensor(56.8549, device='cuda:0') Validation Error: tensor(57.2248, device='cuda:0') Test Error: tensor(42.0737, device='cuda:0')
Round: 13000 Training Error: tensor(56.7369, device='cuda:0') Validation Error: tensor(57.0927, device='cuda:0') Test Error: tensor(41.9933, device='cuda:0')
Round: 13500 Training Error: tensor(56.7024, device='cuda:0') Validation Error: tensor(57.1612, device='cuda:0') Test Error: tensor(41.8928, device='cuda:0')
Round: 14000 Training Error: tensor(56.4151, device='cuda:0') Validation Error: tensor(56.9409, device='cuda:0') Test Error: tensor(41.4237, device='cuda:0')
Round: 14500 Training Error: tensor(56.6861, device='cuda:0') Validation Error: tensor(57.0920, device='cuda:0') Test Error: tensor(40.8276, device='cuda:0')
Round: 15000 Training Error: tensor(56.2768, device='cuda:0') Validation Error: tensor(56.7459, device='cuda:0') Test Error: tensor(41.5404, device='cuda:0')
Round: 15500 Training Error: tensor(56.1629, device='cuda:0') Validation Error: tensor(56.7425, device='cuda:0') Test Error: tensor(41.5017, device='cuda:0')
Round: 16000 Training Error: tensor(56.2765, device='cuda:0') Validation Error: tensor(56.9354, device='cuda:0') Test Error: tensor(40.8526, device='cuda:0')
Round: 16500 Training Error: tensor(55.9452, device='cuda:0') Validation Error: tensor(56.7685, device='cuda:0') Test Error: tensor(41.4552, device='cuda:0')
Round: 17000 Training Error: tensor(56.4443, device='cuda:0') Validation Error: tensor(57.4336, device='cuda:0') Test Error: tensor(40.5512, device='cuda:0')
Round: 17500 Training Error: tensor(56.0748, device='cuda:0') Validation Error: tensor(57.3302, device='cuda:0') Test Error: tensor(40.4519, device='cuda:0')
Round: 18000 Training Error: tensor(56.2934, device='cuda:0') Validation Error: tensor(57.3790, device='cuda:0') Test Error: tensor(40.3349, device='cuda:0')
Round: 18500 Training Error: tensor(55.4911, device='cuda:0') Validation Error: tensor(57.1892, device='cuda:0') Test Error: tensor(41.1803, device='cuda:0')
Round: 19000 Training Error: tensor(56.0299, device='cuda:0') Validation Error: tensor(57.6081, device='cuda:0') Test Error: tensor(39.7600, device='cuda:0')
Round: 19500 Training Error: tensor(55.7669, device='cuda:0') Validation Error: tensor(57.4445, device='cuda:0') Test Error: tensor(41.7801, device='cuda:0')
Round: 20000 Training Error: tensor(55.3513, device='cuda:0') Validation Error: tensor(57.4482, device='cuda:0') Test Error: tensor(41.2441, device='cuda:0')
1 0 0.001 20000 0.0 ['dr']
Round: 500 Training Error: tensor(72.5027, device='cuda:0') Validation Error: tensor(62.7240, device='cuda:0') Test Error: tensor(50.9086, device='cuda:0')
