nohup: ignoring input
3 4 0.1 20000 0.0 ['dr', 'hvac', 'mw', 'dw', 'fridge']
Round: 3000 Training Error: 73.20121002197266 Validation Error: 101.52052307128906 Test Error: 89.47779083251953
Round: 3500 Training Error: 73.28960418701172 Validation Error: 101.18236541748047 Test Error: 88.82550811767578
Round: 4000 Training Error: 73.04597473144531 Validation Error: 101.30586242675781 Test Error: 89.06131744384766
Round: 4500 Training Error: 73.10545349121094 Validation Error: 100.97239685058594 Test Error: 88.8144760131836
Round: 5000 Training Error: 72.84517669677734 Validation Error: 101.49769592285156 Test Error: 89.40640258789062
Round: 5500 Training Error: 72.8431167602539 Validation Error: 101.11661529541016 Test Error: 89.04239654541016
Round: 6000 Training Error: 72.81307220458984 Validation Error: 101.16218566894531 Test Error: 88.90895080566406
Round: 6500 Training Error: 72.64273071289062 Validation Error: 101.06893157958984 Test Error: 88.9381332397461
Round: 7000 Training Error: 72.70207977294922 Validation Error: 100.34830474853516 Test Error: 87.95874786376953
Round: 7500 Training Error: 72.59825134277344 Validation Error: 100.70834350585938 Test Error: 88.3485107421875
Round: 8000 Training Error: 72.54559326171875 Validation Error: 100.3753433227539 Test Error: 88.38123321533203
Round: 8500 Training Error: 72.59077453613281 Validation Error: 100.00114440917969 Test Error: 87.79808044433594
Round: 9000 Training Error: 72.5875473022461 Validation Error: 100.11158752441406 Test Error: 87.4578857421875
Round: 9500 Training Error: 72.42485046386719 Validation Error: 100.0239486694336 Test Error: 87.32665252685547
Round: 10000 Training Error: 72.2155990600586 Validation Error: 100.3140640258789 Test Error: 87.82299041748047
Round: 10500 Training Error: 72.16433715820312 Validation Error: 100.47970581054688 Test Error: 87.93377685546875
Round: 11000 Training Error: 72.21350860595703 Validation Error: 100.55438232421875 Test Error: 87.44828033447266
Round: 11500 Training Error: 72.84434509277344 Validation Error: 99.93645477294922 Test Error: 86.98158264160156
Round: 12000 Training Error: 72.0635757446289 Validation Error: 100.28550720214844 Test Error: 87.32542419433594
Round: 12500 Training Error: 72.10597229003906 Validation Error: 100.12393951416016 Test Error: 86.80277252197266
Round: 13000 Training Error: 72.01325225830078 Validation Error: 100.36983489990234 Test Error: 87.40003204345703
Round: 13500 Training Error: 71.99458312988281 Validation Error: 100.19597625732422 Test Error: 87.35420989990234
Round: 14000 Training Error: 72.14511108398438 Validation Error: 100.13166046142578 Test Error: 87.57162475585938
Round: 14500 Training Error: 72.0202865600586 Validation Error: 100.02496337890625 Test Error: 86.97451782226562
Round: 15000 Training Error: 71.92334747314453 Validation Error: 100.0727767944336 Test Error: 86.86507415771484
Round: 15500 Training Error: 71.88756561279297 Validation Error: 100.1947250366211 Test Error: 87.07575225830078
Round: 16000 Training Error: 71.89263153076172 Validation Error: 100.43791961669922 Test Error: 87.320556640625
Round: 16500 Training Error: 71.86338806152344 Validation Error: 100.02471160888672 Test Error: 87.16349792480469
Round: 17000 Training Error: 71.8010482788086 Validation Error: 100.13623809814453 Test Error: 87.48948669433594
Round: 17500 Training Error: 71.9545669555664 Validation Error: 99.8721923828125 Test Error: 87.2247085571289
Round: 18000 Training Error: 71.7586441040039 Validation Error: 100.12570190429688 Test Error: 87.05105590820312
Round: 18500 Training Error: 72.3218994140625 Validation Error: 99.63221740722656 Test Error: 86.8082275390625
Round: 19000 Training Error: 71.9867172241211 Validation Error: 99.82689666748047 Test Error: 86.31803131103516
Round: 19500 Training Error: 71.74456787109375 Validation Error: 99.72734832763672 Test Error: 86.55510711669922
Round: 20000 Training Error: 71.9050064086914 Validation Error: 100.17713165283203 Test Error: 86.33678436279297
