nohup: ignoring input
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'fridge', 'residual', 'mw', 'dr']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'dr', 'fridge', 'mw', 'residual']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'dr', 'fridge', 'residual', 'mw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'dr', 'mw', 'fridge', 'residual']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'dr', 'mw', 'residual', 'fridge']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'dr', 'residual', 'fridge', 'mw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'dr', 'residual', 'mw', 'fridge']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'mw', 'fridge', 'dr', 'residual']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'mw', 'fridge', 'residual', 'dr']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'mw', 'dr', 'fridge', 'residual']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'mw', 'dr', 'residual', 'fridge']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'mw', 'residual', 'fridge', 'dr']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'mw', 'residual', 'dr', 'fridge']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'residual', 'fridge', 'dr', 'mw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'residual', 'fridge', 'mw', 'dr']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'residual', 'dr', 'fridge', 'mw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'residual', 'dr', 'mw', 'fridge']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'residual', 'mw', 'fridge', 'dr']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'hvac', 'residual', 'mw', 'dr', 'fridge']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'hvac', 'dr', 'mw', 'residual']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'hvac', 'dr', 'residual', 'mw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'hvac', 'mw', 'dr', 'residual']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'hvac', 'mw', 'residual', 'dr']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'hvac', 'residual', 'dr', 'mw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'hvac', 'residual', 'mw', 'dr']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'dr', 'hvac', 'mw', 'residual']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'dr', 'hvac', 'residual', 'mw']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'dr', 'mw', 'hvac', 'residual']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'dr', 'mw', 'residual', 'hvac']
5 2 RNN 50 2 True 0.01 3000 0.0 ['dw', 'fridge', 'dr', 'residual', 'hvac', 'mw']
